"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome"
"","html-keyboard-response","26","75534","0.0-26.0","6127","<div class='center'><p>In the game, you will get to choose which of three pirates you want to rob the next ship. <p>Press the <b>‘1’</b> button on your keyboard to pick the pirate with the red beard.</p><p> Press <b>‘2’</b> to pick the pirate with the white beard.</p><p> Press <b>‘3’</b> to pick the pirate with the black beard.</p><p>Try picking a pirate now!</p><p><img src='run_exp/static/images/all_pirates.png' height='500'></p></div>","49","","","","","","","","","","",""
"","html-keyboard-response","27","77538","0.0-27.0-0.0","2002","<div class='center'><p>This pirate was successful at robbing the ship!</p><p><img src='run_exp/static/images/red_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","28","78318","0.0-27.0-1.0","780","<div class='center'><p>Now try choosing another</p><p><img src='run_exp/static/images/all_pirates.png' height='500'></p></div>","50","","","","","","","","","","",""
"","html-keyboard-response","29","79397","0.0-28.0-0.0","1078.5999999940395","<div class='center'><p>This pirate was not successful at robbing the ship!</p><p><img src='run_exp/static/images/white_no_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","30","82584","0.0-29.0-0.0","3185.7999999821186","<div class='center'><p>You’ll stop at these 6 places on your journey.</p><p><img src='run_exp/static/images/all_contexts.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","31","85583","0.0-29.0-1.0","2999.4000000059605","<div class='center'><p>How good a pirate is at robbing ships will depend on the current place.</p><p> Some pirates will have been to the place before, and will have more experience robbing ships there.</p><p>So, they will be more successful at stealing gold and bringing it back to you.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","32","95326","0.0-29.0-2.0","9742","<div class='center'><p>How successful a pirate is at robbing ships can also change in a place.<p> Ships may hear about the pirates coming and will improve their defenses. This may make it more difficult to rob them.</p><p> Ships may also grow lazy and lower their defenses. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='run_exp/static/images/contingency.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","33","117241","0.0-29.0-3.0","21914.399999976158","<div class='center'><p>Once you choose a pirate to rob a ship, you’ll be shown the ship they are robbing.</p><p>The ship will have a picture of the item they sold at the marketplace.</p><p> Try your best to remember the ship and where you saw the ship.</p><p> You’ll have to remember this for later, and remembering this correctly will help you win more bonus money!</p><p>You can remember the ship by remembering the item they sold at the marketplace</p><p>A helpful strategy is to try to come up with a story of the chosen pirate and ship’s item interacting with the scene.</p><p> For example, a ship might have sold travel mugs and you could imagine red beard walking through the city with a travel mug. </p><p>Or imagine an apple falling from a tree into white beard's hands in the forest.</p><p><img src='run_exp/static/images/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","34","121696","0.0-29.0-4.0","4454.200000017881","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p>You can’t win more gold. You just have to sit and wait.</p><p><img src='run_exp/static/images/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","35","131337","0.0-29.0-5.0","9640.899999976158","<div class='center'><p>Again, you have two important things to do: </p><b><p> 1. Pick the pirate who you think will be most successful at robbing the next ship.</p></b><b><p> 2. Remember where a pirate robbed a ship.</p> </b><p>Both are important in determining how much bonus money you’ll win.</p><br><p>Let’s try a practice game. The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. When you are shown a ship, try to remember the place you’re in by making up a story.</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p> <p>This is just a practice game, so you’re not playing for money. </p><p>You’ll receive a bag which may or may not contain gold coins.</p><p> In the real game, though, you’ll be able to see whether or not you received the gold coins.</p><p> Good luck, remember press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","",""
"","do_trial_prac","36","136824","0.0-29.0-6.0","982.7000000178814","","","","49","","","","","","","","",""
"","do_trial_prac","37","142901","0.0-29.0-7.0","1573.800000011921","","","","50","","","","","","","","",""
"","do_trial_prac","38","148905","0.0-29.0-8.0","null","","","","null","","","","","","","","",""
"","do_trial_prac","39","153769","0.0-29.0-9.0","361","","","","51","","","","","","","","",""
"","do_trial_prac","40","158897","0.0-29.0-10.0","626.0999999940395","","","","49","","","","","","","","",""
"","html-keyboard-response","41","161870","0.0-29.0-11.0","2972.0999999940395","<div class='center'><p>Great job on the practice game!</p><p> Now, you will be asked you some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p><p><b>[Press the space bar to begin the quiz]</b></p></div>","32","","","","","","","","","","",""
"","html-keyboard-response","42","164843","0.0-29.0-12.0","2972.2000000178814","<div class='center'><p>You win bonus money by making choices as fast as possible.</p><p>Press 1 for true and press  2 for false.</p></div>","49","","","","","","","","","","",""
"","html-keyboard-response","43","166519","0.0-30.0-0.0","1675.5","<br><br><br><br><p>That’s incorrect! You win bonus money by collecting as many gold coins as possible!</p><p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","44","171605","0.0-30.0-1.0","5085.9000000059605","<div class='center'><p>You press the <b>‘3’</b> button on the keyboard to choose the red bearded pirate? </p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","",""
"","html-keyboard-response","45","172458","0.0-31.0-0.0","852.5","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","46","175255","0.0-31.0-1.0","2796.5","<div class='center'><p>A pirate will always be equally successful at robbing ships in each place</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","",""
"","html-keyboard-response","47","175842","0.0-32.0-0.0","586.5999999940395","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","48","178261","0.0-32.0-1.0","2418.699999988079","<div class='center'><p>You should remember the place where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>","49","","","","","","","","","","",""
"","html-keyboard-response","49","178747","0.0-33.0-0.0","485.5","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","50","182853","0.0-34.0-0.0","4106.699999988079","<br><br><br><br><p>Oops, you missed some questions. Now that you’ve heard the correct answers. Try the quiz again! If you fail the quiz too many times, you won’t be able to do the experiment. </p> <p><br>[press the space bar to repeat the quiz]</br></p>","32","","","","","","","","","","",""
"","html-keyboard-response","51","184699","0.0-34.0-1.0","1845.4000000059605","<div class='center'><p>You win bonus money by making choices as fast as possible.</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","",""
"","html-keyboard-response","52","185266","0.0-35.0-0.0","566.4000000059605","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","53","187707","0.0-35.0-1.0","2440.5999999940395","<div class='center'><p>You press the <b>‘3’</b> button on the keyboard to choose the red bearded pirate? </p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","",""
"","html-keyboard-response","54","188192","0.0-36.0-0.0","484.69999998807907","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","55","190859","0.0-36.0-1.0","2666.5999999940395","<div class='center'><p>A pirate will always be equally successful at robbing ships in each place</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","",""
"","html-keyboard-response","56","191343","0.0-37.0-0.0","483.59999999403954","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","57","192348","0.0-37.0-1.0","1004.6999999880791","<div class='center'><p>You should remember the place where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>","49","","","","","","","","","","",""
"","html-keyboard-response","58","192753","0.0-38.0-0.0","400.5","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","",""
"","html-keyboard-response","59","193909","0.0-39.0-0.0","1155.5999999940395","<br><br><br><br><p>Good job! You’re now ready to move on to the real game!</p> <p><br>[press the space bar to begin!]</br></p>","32","","","","","","","","","","",""
"","do_welcome","60","195411","0.0-40.0-0.0","null","","","","null","","","","","","","","",""
"","do_trial","61","200746","0.0-41.0-0.0","812.0999999940395","","","","49","1,0,0","0","highway","0","probe-152","1","0.4","0.1","1"
"","do_trial","62","206245","0.0-42.0-0.0","975.5","","","","49","1,0,0","0","highway","1","probe-162","1","0.4003777094054361","0.11980018390473934","1"
"","do_trial","63","212381","0.0-43.0-0.0","1612.4000000059605","","","","50","1,1,1","0","highway","2","probe-16","1","0.40863385929997487","0.16784085070008103","1"
"","do_trial","64","217861","0.0-44.0-0.0","956.5","","","","51","1,0,0","0","highway","3","probe-220","1","0.4200143699983993","0.08825799365486776","0"
"","do_trial","65","222968","0.0-45.0-0.0","584.5","","","","50","1,1,0","0","highway","4","probe-62","0.8641661942221432","0.48437845888670106","0.14164668617298987","1"
"","do_trial","66","227749","0.0-46.0-0.0","258.30000001192093","","","","49","1,0,0","0","highway","5","probe-204","0.9235457338256654","0.40946982733119647","0.1550749755256877","1"
"","do_trial","67","232658","0.0-47.0-0.0","386.2999999821186","","","","51","1,0,0","0","highway","6","probe-217","0.8456903230712932","0.4267581893288397","0.08364834509799204","0"
"","do_trial","68","237522","0.0-48.0-0.0","340.7999999821186","","","","50","1,0,0","0","highway","7","probe-68","0.7941033545980513","0.41359260916521434","0.06559530004987266","0"
"","do_trial","69","242283","0.0-49.0-0.0","237","","","","49","0,1,0","0","highway","8","probe-166","0.8267390010344964","0.4707787948747913","0.06651135188887788","0"
"","do_trial","70","247374","0.0-50.0-0.0","566.2999999821186","","","","49","1,0,0","0","highway","9","probe-189","0.7056524808893603","0.4928143826323699","0.07890325952117197","1"
"","do_trial","71","252463","0.0-51.0-0.0","566.6000000238419","","","","50","0,0,1","0","highway","10","probe-161","0.4347083115434394","0.6087341412565751","0.20106811281663653","0"
"","do_trial","72","257255","0.0-52.0-0.0","268.30000001192093","","","","49","0,1,0","0","highway","11","probe-196","0.3426731653083682","0.6229741283936429","0.17338567053468373","0"
"","do_trial","73","262128","0.0-53.0-0.0","349.69999998807907","","","","49","0,1,1","0","highway","12","probe-153","0.14710942357110127","0.7234472794149395","0.36095787232550136","0"
"","do_trial","74","266951","0.0-54.0-0.0","300.2999999821186","","","","49","0,0,0","0","highway","13","probe-107","0.1377372065750678","0.7036306019198943","0.34507373718142165","0"
"","do_trial","75","272269","0.0-55.0-0.0","795.3000000119209","","","","51","0,0,0","0","highway","14","probe-121","0.27168496369773404","0.6440454062900269","0.39459989380364613","0"
"","do_trial","76","278292","0.0-56.0-0.0","null","","","","null","0,1,0","0","highway","15","probe-24","0.14221341227874976","0.7447838674235011","0.4368562626374181",""
"","do_trial","77","283201","0.0-57.0-0.0","385.59999999403954","","","","50","0,0,1","0","highway","16","probe-185","0.0959968733577601","0.6900839650810137","0.4122983764479794","0"
"","do_trial","78","288926","0.0-58.0-0.0","1201.4000000059605","","","","49","0,1,0","0","highway","17","probe-199","0.1235736832488198","0.7165653699089414","0.3036104939561572","0"
"","do_trial","79","294949","0.0-59.0-0.0","null","","","","null","0,1,0","0","highway","18","probe-42","0.15170250195220378","0.698250186016877","0.41384761933539155",""
"","do_trial","80","299728","0.0-60.0-0.0","254.5","","","","49","1,0,0","0","highway","19","probe-45","0.19671850853722647","0.7293176392564287","0.4317904777788628","1"
"","do_trial","81","305752","0.0-61.0-0.0","null","","","","null","0,1,1","0","highway","20","probe-135","0.2589986961870801","0.7389073707969677","0.2343613966019397",""
"","do_trial","82","311777","0.0-62.0-0.0","null","","","","null","1,1,1","0","highway","21","probe-91","0.1904397633091163","0.7302166037528777","0.4090561420905213",""
"","do_trial","83","316625","0.0-63.0-0.0","324.09999999403954","","","","49","0,1,0","0","highway","22","probe-156","0.09303345855504513","0.8540570362993485","0.4587382752300357","0"
"","do_trial","84","322650","0.0-64.0-0.0","null","","","","null","0,1,1","0","highway","23","probe-111","0.13089802668548312","0.765278995681511","0.2907219300369225",""
"","do_trial","85","328673","0.0-65.0-0.0","null","","","","null","0,1,0","0","highway","24","probe-170","0.07498077973067668","0.8137006827984377","0.36530681068158877",""
"","do_trial","86","334697","0.0-66.0-0.0","null","","","","null","0,0,0","0","highway","25","probe-94","0.14333794833228106","0.7414464916957715","0.27352474540624633",""
"","do_trial","87","340725","0.0-67.0-0.0","null","","","","null","0,1,0","0","highway","26","probe-22","0.06280045952191105","0.8031370342783373","0.30238689778022504",""
"","do_trial","88","346749","0.0-68.0-0.0","null","","","","null","0,1,0","0","highway","27","probe-224","0.058384546747023536","0.7987910900884859","0.3602616369908758",""
"","do_trial","89","352776","0.0-69.0-0.0","null","","","","null","0,1,0","0","highway","28","probe-126","0.13335484205543757","0.8221352040232124","0.4465339212091876",""
"","do_trial","90","358800","0.0-70.0-0.0","null","","","","null","1,1,0","0","highway","29","probe-21","0.19305081650919698","0.8652837682281616","0.46571983992890764",""
"","do_trial","91","365226","0.0-71.0-0.0","null","","","","null","0,0,0","0","highway","30","probe-171","0.18669297115650121","0.8711718486334252","0.4115285120959793",""
"","do_trial","92","371251","0.0-72.0-0.0","null","","","","null","0,0,0","0","highway","31","probe-109","0.16723325156174915","0.8309631002760547","0.31493317941967996",""
"","do_trial","93","377276","0.0-73.0-0.0","null","","","","null","0,1,1","0","highway","32","probe-69","0.1893437940416599","0.790743470458509","0.4076183546021377",""
"","do_trial","94","383300","0.0-74.0-0.0","null","","","","null","0,1,1","0","highway","33","probe-49","0.25095362144992056","0.8818531968484553","0.446438922320724",""
"","do_trial","95","389324","0.0-75.0-0.0","null","","","","null","0,1,0","0","highway","34","probe-105","0.23712134985719396","0.7885503405535468","0.3973510000821014",""
