success,trial_type,trial_index,time_elapsed,internal_node_id
,html-keyboard-response,150,323678,0.0-69.0-1.0
,do_trial,151,325588,0.0-70.0-0.0
,html-keyboard-response,152,326596,0.0-70.0-1.0
,do_trial,153,328367,0.0-71.0-0.0
,html-keyboard-response,154,329378,0.0-71.0-1.0
,do_trial,155,331226,0.0-72.0-0.0
,html-keyboard-response,156,332235,0.0-72.0-1.0
,do_trial,157,334019,0.0-73.0-0.0
,html-keyboard-response,158,335021,0.0-73.0-1.0
,do_trial,159,339035,0.0-74.0-0.0
,html-keyboard-response,160,340042,0.0-74.0-1.0
,do_trial,161,341828,0.0-75.0-0.0
,html-keyboard-response,162,342837,0.0-75.0-1.0
,html-keyboard-response,163,342841,0.0-76.0-0.0
,judgement_attention_check,164,347848,0.0-77.0-0.0
,do_welcome,165,352870,0.0-77.0-1.0
,do_trial,166,355282,0.0-78.0-0.0
,html-keyboard-response,167,356292,0.0-78.0-1.0
,do_trial,168,358118,0.0-79.0-0.0
,html-keyboard-response,169,359127,0.0-79.0-1.0
,do_trial,170,361020,0.0-80.0-0.0
,html-keyboard-response,171,362029,0.0-80.0-1.0
,do_trial,172,363929,0.0-81.0-0.0
,html-keyboard-response,173,364941,0.0-81.0-1.0
,do_trial,174,366809,0.0-82.0-0.0
,html-keyboard-response,175,367819,0.0-82.0-1.0
,do_trial,176,369765,0.0-83.0-0.0
,html-keyboard-response,177,370768,0.0-83.0-1.0
,do_trial,178,372680,0.0-84.0-0.0
,html-keyboard-response,179,373688,0.0-84.0-1.0
,do_trial,180,375578,0.0-85.0-0.0
,html-keyboard-response,181,376590,0.0-85.0-1.0
,do_trial,182,378822,0.0-86.0-0.0
,html-keyboard-response,183,379829,0.0-86.0-1.0
,do_trial,184,381924,0.0-87.0-0.0
,html-keyboard-response,185,382931,0.0-87.0-1.0
,html-keyboard-response,186,382933,0.0-88.0-0.0
,judgement_attention_check,187,383688,0.0-89.0-0.0
,do_welcome,188,388698,0.0-89.0-1.0
,do_trial,189,390725,0.0-90.0-0.0
,html-keyboard-response,190,391727,0.0-90.0-1.0
,do_trial,191,393946,0.0-91.0-0.0
,html-keyboard-response,192,394949,0.0-91.0-1.0
,do_trial,193,396707,0.0-92.0-0.0
,html-keyboard-response,194,397724,0.0-92.0-1.0
,do_trial,195,399662,0.0-93.0-0.0
,html-keyboard-response,196,400665,0.0-93.0-1.0
,do_trial,197,402533,0.0-94.0-0.0
,html-keyboard-response,198,403536,0.0-94.0-1.0
,do_trial,199,407551,0.0-95.0-0.0
,html-keyboard-response,200,408564,0.0-95.0-1.0
,do_trial,201,410566,0.0-96.0-0.0
,html-keyboard-response,202,411569,0.0-96.0-1.0
,do_trial,203,413652,0.0-97.0-0.0
,html-keyboard-response,204,414662,0.0-97.0-1.0
,do_trial,205,416424,0.0-98.0-0.0
,html-keyboard-response,206,417426,0.0-98.0-1.0
,do_trial,207,419402,0.0-99.0-0.0
,html-keyboard-response,208,420405,0.0-99.0-1.0
,html-keyboard-response,209,420406,0.0-100.0-0.0
,judgement_attention_check,210,422500,0.0-101.0-0.0
,do_welcome,211,427507,0.0-101.0-1.0
,do_trial,212,431535,0.0-102.0-0.0
,html-keyboard-response,213,432543,0.0-102.0-1.0
,do_trial,214,434487,0.0-103.0-0.0
,html-keyboard-response,215,435492,0.0-103.0-1.0
,do_trial,216,437936,0.0-104.0-0.0
